"","Sample.name","title","source.name","organism","characteristics..age","characteristics..developmental.stage","characteristics..sex","molecule","description","processed.data.file","raw.file","BioSample","Instrument.Model","Sample.name.new"
"A1_384Bulk_Plate1_S1","A1_384Bulk_Plate1_S1","Tabula Muris Senis (bulk RNA seq)","BAT_24","Mus musculus C57/BL6","6","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9127205","SAMN11854566","Illumina NovaSeq 6000","BAT_24-m-6"
"A1_384Bulk_Plate3_S1","A1_384Bulk_Plate3_S1","Tabula Muris Senis (bulk RNA seq)","SCAT_43","Mus musculus C57/BL6","3","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9127206","SAMN11854567","Illumina NovaSeq 6000","SCAT_43-m-3"
"A10_384Bulk_Plate1_S10","A10_384Bulk_Plate1_S10","Tabula Muris Senis (bulk RNA seq)","Brain_47","Mus musculus C57/BL6","18","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9127203","SAMN11854568","Illumina NovaSeq 6000","Brain_47-m-18"
"A10_384Bulk_Plate2_S10","A10_384Bulk_Plate2_S10","Tabula Muris Senis (bulk RNA seq)","GAT_39","Mus musculus C57/BL6","1","months postnatal","f","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9127204","SAMN11854569","Illumina NovaSeq 6000","GAT_39-f-1"
"A10_384Bulk_Plate3_S10","A10_384Bulk_Plate3_S10","Tabula Muris Senis (bulk RNA seq)","Lung_6","Mus musculus C57/BL6","12","months postnatal","f","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9127371","SAMN11854570","Illumina NovaSeq 6000","Lung_6-f-12"
"A11_384Bulk_Plate1_S11","A11_384Bulk_Plate1_S11","Tabula Muris Senis (bulk RNA seq)","Limb_Muscle_11","Mus musculus C57/BL6","3","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9127373","SAMN11854571","Illumina NovaSeq 6000","Limb_Muscle_11-m-3"
"A11_384Bulk_Plate2_S11","A11_384Bulk_Plate2_S11","Tabula Muris Senis (bulk RNA seq)","WBC_34","Mus musculus C57/BL6","9","months postnatal","f","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9127107","SAMN11854572","Illumina NovaSeq 6000","WBC_34-f-9"
"A11_384Bulk_Plate3_S11","A11_384Bulk_Plate3_S11","Tabula Muris Senis (bulk RNA seq)","Small_Intestine_46","Mus musculus C57/BL6","12","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9127127","SAMN11854573","Illumina NovaSeq 6000","Small_Intestine_46-m-12"
"A12_384Bulk_Plate1_S12","A12_384Bulk_Plate1_S12","Tabula Muris Senis (bulk RNA seq)","Limb_Muscle_38","Mus musculus C57/BL6","9","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9127454","SAMN11854574","Illumina NovaSeq 6000","Limb_Muscle_38-m-9"
"A12_384Bulk_Plate2_S12","A12_384Bulk_Plate2_S12","Tabula Muris Senis (bulk RNA seq)","Liver_56","Mus musculus C57/BL6","6","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9126831","SAMN11854575","Illumina NovaSeq 6000","Liver_56-m-6"
"A12_384Bulk_Plate3_S12","A12_384Bulk_Plate3_S12","Tabula Muris Senis (bulk RNA seq)","Lung_17","Mus musculus C57/BL6","12","months postnatal","f","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9127028","SAMN11854576","Illumina NovaSeq 6000","Lung_17-f-12"
"A13_384Bulk_Plate1_S13","A13_384Bulk_Plate1_S13","Tabula Muris Senis (bulk RNA seq)","Spleen_7","Mus musculus C57/BL6","12","months postnatal","f","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9127029","SAMN11854577","Illumina NovaSeq 6000","Spleen_7-f-12"
